system:index,2019,2020,2021,2022,2023,2024,2025,HYBAS_ID,.geo
00000000000000000000,460.9407513225366,592.5943139492646,705.6905494114842,763.7042525250564,644.4067148214054,553.1722651963681,543.7386959422189,1051431680,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,504.9807221886819,745.628069,797.5781193916515,754.7444140439804,733.1044485661187,506.53741156357364,692.9771066323955,1051438780,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,397.6093355569408,592.6262847450963,665.8546884623619,695.1935725487954,612.4773294339332,540.1338874229438,528.2235474393927,1051438860,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,400.78094757073984,619.3563020190492,673.0082181521402,700.3768035507495,617.5956522988948,524.3312188981299,555.1207846654174,1051451560,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,412.54963494434463,663.9909868452149,653.7022188845764,700.0627156199674,605.8817591281542,556.7690126662601,562.1588587298874,1051451550,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,412.80565947747255,699.2922230153059,706.8259362038549,678.0906213140873,602.6964780794121,550.4609021529528,587.0415807902381,1051453310,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,398.7357481629001,620.9120984021959,643.7139554,618.0345284053127,554.0539368999539,529.3451957233658,595.1159311,1051453390,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,347.00693534842037,624.1337320445537,600.3846188443175,555.0027977834852,534.0895381781681,402.9725447006528,646.6030527,1051457490,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,366.5451925118608,611.3214365,582.1366991332054,565.3514497,520.8184455489368,474.0512842859049,609.5966034453626,1051457550,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,390.9590240742511,593.7747798275476,610.0793291349459,603.5601259556338,418.7961813685288,319.0287343302925,625.5308970936429,1051478700,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,373.7062769,534.6955094371668,558.6292191499706,499.77778676640077,445.8570536,320.41344926860864,604.8855709743015,1051478770,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,299.2579213178638,487.4046656094837,577.3590212518648,618.1589651,269.7309042379067,277.82046724513344,541.7235178304234,1051473950,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,813.2199083928044,973.4279343,1075.404040563196,921.3162795298748,923.7959412348571,659.6777286974564,837.1414310324424,1051413460,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,619.0002088387033,746.3768203893961,967.2119839569461,873.6330068385729,857.7578343725594,603.9054165905852,756.7533020179053,1051413580,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,711.9557830014006,772.0179612517742,1047.332278170295,889.7785288624326,878.1094563409758,674.3240238174005,767.8236230579743,1051412570,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,872.4398464828218,921.3230128878554,1181.8036265471794,954.6154487065838,973.3304142,790.7451280664327,869.3022469102043,1051412560,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,758.4269476247925,809.0214901064569,1176.6695857528655,912.5401384,921.7647914302036,747.3926491,821.6397399945504,1051409000,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,326.8907166028548,588.9095909,651.6382554750961,736.2635714534068,281.8864849641662,352.7279469,590.8447311905128,1051487890,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,253.84530129930303,484.4136578938668,647.2313143878249,683.8222599306907,216.53737070270478,315.15661324297065,552.4984306200756,1051487960,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,888.1461301214138,961.5617793956823,1271.5392541667393,957.5917583116906,991.8646149877943,879.6818099601817,900.5760674363482,1051400740,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,310.8070418,580.9105281857288,707.4613921947144,782.1236332716721,295.33795703715526,410.50949116258494,584.1186287091762,1051466490,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,383.9943744078621,710.6924237119455,782.0682245,936.7899896372072,386.9674366965071,439.32264693921206,655.0713105573087,1051466350,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,542.9661067078321,835.5734639250098,772.1152813529387,769.6392675,708.3131926013052,490.0281485464492,688.0154311720275,1051423970,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,769.0005122611682,953.2234722636457,939.3552445318445,823.5377016341549,868.1791945052414,563.0319817156394,820.3911437,1051405300,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,490.7803827829229,857.4689952039936,932.3308425,1018.395613670006,548.4623493672511,500.1546370513723,737.6089371,1051428730,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,419.76823935475153,798.5416510103039,895.6514091054848,946.6127958472183,487.0667548366707,482.0685557438302,686.5261492470739,1051428790,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,258.46651760703287,374.7891923312349,556.3256033821702,474.8075297100326,232.4187546179118,217.66771074768792,520.5542918949786,1051533130,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,182.9451048,241.7014478806985,483.3360406018957,269.09786309771675,171.16974883875952,146.15439732592367,419.7801228659829,1051533240,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,254.31311079369837,416.04637265517283,605.4911383354827,585.7448747616218,224.19067445233367,260.3697533628155,520.7713854631868,1051515680,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,151.75477250524145,337.86345648218463,589.3773756261811,440.44414399774496,153.3669378193078,249.70767890684814,471.03535434916813,1051515780,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,172.92232076714285,367.8268847773106,717.7815810910765,488.2361086950583,135.77473955824405,265.48624866445294,492.84087621930877,1051522340,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,191.25899250763692,366.4504840443334,721.4210498656626,544.8776562667225,174.56752000544395,268.1791064017267,501.4620121265116,1051522260,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,161.81068864177757,357.6895033941139,726.6056006256927,482.4487834456353,137.80182213504858,265.2775899870224,484.7981545845422,1051518250,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,170.2540786296603,351.50475349444076,745.2506386740303,484.4809628487153,135.94668355292652,257.17368978767763,481.08073033548817,1051518160,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,173.4933374230567,352.32626002084845,726.2101769243894,494.42358508634675,162.02018390671552,282.1576191129439,492.69479978740435,1051513460,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,167.23731211947424,341.49735921857587,719.9549460887612,456.49585476589726,146.6566789263667,255.46252444605864,472.08531755167036,1051513450,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,149.0938566826231,357.89680804917657,673.8081353627648,427.07280992940974,148.90178680142225,256.608008,433.1324695870833,1051520550,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,137.41098421848622,368.8342149,699.9291713591318,415.28232316870685,129.99413991049397,244.09906631580387,404.1012789825685,1051520660,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,208.59121986635367,346.42809137978156,670.5856086975232,570.7224046679281,188.74397921418068,322.1846010876067,494.4309531814121,1051479650,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,329.3550383348693,596.6886825832236,595.1222070894304,747.4025882887589,384.83203036978904,477.52084290630165,584.4064567589878,1051479540,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,173.4555377058263,359.0613078,712.6510201602985,510.9098946716099,177.93664029725537,308.55153685858386,502.35413492544484,1051478080,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,192.7909891652682,366.88943680450984,715.9946905954371,550.4500284634023,207.17422067213536,335.0329580753153,502.90589947844296,1051477980,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,168.94166171892493,364.20052875502427,709.6546563326433,476.9798089246796,177.5402512426267,315.5865489706307,502.45332877183847,1051494900,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,144.31368423651716,342.3286659373583,585.9616877300688,437.9772805958633,152.84741902008528,242.21123594864468,480.76215821629256,1050052130,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,341.8767785945798,425.76296011776105,608.6048765104978,472.0228847863489,286.2368808690884,248.97939704734213,567.2813463595967,1050040200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,371.3775964430427,621.7397477539928,627.8186392523181,599.9521299,449.4310100102681,333.1172387927361,612.5527724631879,1061473880,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,411.47540652245755,670.3994156011528,644.2591130678659,735.7049741429882,424.2118984196249,371.78002993203995,615.2276379067146,1061469870,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,385.07894973236625,654.4243752559083,632.5857042052216,662.0637016213907,458.02837406184324,390.1867698955979,607.1351366423874,1061469810,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,428.51582904024445,785.6236735873503,772.3995338557435,990.9591589938867,451.0133675205655,445.33809065070693,675.4040610300019,1061454200,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,507.9259219675008,843.8486102320749,723.4479080614553,836.4010592948428,588.3165167678029,464.45375304144255,703.3637375266942,1061454120,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,498.51337779093325,843.7088908280155,864.6406753264256,1098.421239707328,513.0377669,497.43998731841805,735.0037569200853,1061444220,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,379.5011182359588,691.9248165352918,742.1958792973765,898.8532000179844,446.5810336570457,397.7502242415527,576.1476360092479,1061444070,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,503.7289126386569,893.1528226198818,772.1499529502493,970.1908170902939,583.5646069954544,495.7402143759799,715.2625695272266,1061443520,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,519.9796651059758,905.4914826254783,757.3788042993954,891.5122746937025,620.2996175003701,488.53215797563433,692.1204515569945,1061443730,"{""type"":""MultiPoint"",""coordinates"":[]}"
